연,월,일,시,분,지역,송출내용,target
2022,1,1,18,13,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람 ▲18세이상 3개월경과자 3차접종 예약중 ☎450-7400,전염병
2022,1,5,18,15,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자검사바람 ▲18세이상 3개월경과자 3차접종 예약중 ☎450-7400,전염병
2022,1,6,17,13,중랑구,[중랑구청] '21.12.22~12.30 경륜경정중랑지점(상봉동) 방문자께서는 가까운 선별진료소에서 코로나19 검사를 받으시기 바랍니다.(02-2094-0800),전염병
2022,1,7,15,5,서초구,"[서초구청] 1.1(토) 13시~23시, 1.3(월) 05시~07시 서초18번 마을버스 이용객중 유증상자는 코로나19 검사바랍니다. www.seocho.go.kr",전염병
2022,1,7,17,38,용산구,[용산구청] 21.12.30.(목).~22.1.2.(일) ‘집시바(구 오아시스)’ 방문자는 가까운 선별진료소에서 코로나19 검사 받으시기 바랍니다.,전염병
2022,1,8,17,16,광진구,[광진구청]재택치료자 가족 전용 무료 안심숙소 설치 ☎450-2802 ▲확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람,전염병
2022,1,10,9,46,용산구,[용산구청] 1.1.(토) ‘모여라바(보광로 116)’ 방문자는 가까운 선별진료소에서 코로나19 검사 받으시기 바랍니다.,전염병
2022,1,10,17,45,동대문구,"[동대문구청]한파로 인해 내일(1.11.)부터 보건소 선별진료소 운영시간이 평일 9시~20시, 주말 및 공휴일 9시~18시로 변경되오니 이용에 참고하시기 바랍니다",전염병
2022,1,12,10,11,용산구,[용산구청] 1.7.(금)~1.10.(월) ‘이클래스(우사단로14길 3)’ 방문자는 가까운 선별진료소에서 코로나19 검사 받으시기 바랍니다.,전염병
2022,1,12,15,59,강서구,"[강서구청] 1/12~14 강추위로 강서구보건소 선별진료소 운영시간 단축 9:00~17:30(소독11:30~13:30),마곡임시선별검사소 정상운영(10시~17시)",전염병
2022,1,12,18,36,광진구,[광진구청]재택치료자 가족 전용 무료 안심숙소 설치 ☎450-2802 ▲확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람,전염병
2022,1,13,14,38,강서구,"[강서구청] 1/12~14 강추위로 강서구보건소 선별진료소 운영시간 단축 9:00~17:30(소독11:30~13:30),마곡임시선별검사소 정상운영(10시~17시)",전염병
2022,1,14,14,23,강서구,"[강서구청] 1/12~14 강추위로 강서구보건소 선별진료소 운영시간 단축 9:00~17:30(소독11:30~13:30),마곡임시선별검사소 정상운영(10시~17시)",전염병
2022,1,15,20,28,광진구,[광진구청]재택치료자 가족 전용 무료 안심숙소 설치 ☎450-2802 ▲확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람,전염병
2022,1,19,18,26,동대문구,"[동대문구청]서울시광역선별진료소 확대에 따라 내일(1.20.)부터 보건소 선별진료소 운영시간이 평일·공휴일 9시~18시, 주말(토·일) 9시~13시로 변경됩니다",전염병
2022,1,19,18,34,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람 ▲18세이상 3개월경과자 3차접종 예약중 ☎450-7400,전염병
2022,1,20,9,32,양천구,[양천구청]양천구보건소 선별진료소 운영시간 조정 안내. 양천구청 홈페이지 참조  blog.naver.com/yangcheon2016/222626024322,전염병
2022,1,20,14,51,양천구,[양천구청]18세↑ 2차접종 후 3개월 경과자 3차접종 예약중(ncvr.kdca.go.kr),전염병
2022,1,20,16,0,중랑구,[중랑구청] 1.21.(금)부터 '중랑구보건소 선별진료소' 운영시간을 평일·공휴일 9시~18시/토요일 9시~13시/[일요일 미운영]으로 변경하여 운영합니다.,전염병
2022,1,20,16,1,중랑구,"[중랑구청] 1.21(금)부터 '면목역, 망우역, 망우리역사문화공원 임시선별검사소' 운영시간을 평일 9시~18시/토·일·공휴일 9시~13시로 변경하여 운영합니다.",전염병
2022,1,20,16,28,양천구,[양천구청]18세↑ 2차접종 후 3개월 경과자 3차접종 예약중(ncvr.kdca.go.kr) ☎ 1833-4461~2,전염병
2022,1,20,17,16,종로구,"[종로구청]종로구보건소 선별진료소는 1.20(목)부터 평일·공휴일 9~18시, 토요일 9~13시 운영, 일요일은 미운영합니다 https://han.gl/HzJnx",전염병
2022,1,21,9,10,중랑구,[중랑구청] 1.21.(금)부터 '중랑구보건소 선별진료소' 운영시간을 평일·공휴일 9시~18시/토요일 9시~13시/[일요일 미운영]으로 변경하여 운영합니다.,전염병
2022,1,21,9,12,중랑구,"[중랑구청] 1.21(금)부터 '면목역, 망우역, 망우리역사문화공원 임시선별검사소' 운영시간을 평일 9시~18시/토·일·공휴일 9시~13시로 변경하여 운영합니다.",전염병
2022,1,21,15,31,강서구,"[강서구청]선별진료소 운영시간 변경 1)보건소:평일9시~17시30분(소독11:30~13:30),토·공휴일9시~13시,일요일 미운영 2)마곡검사소:매일10시~17시",전염병
2022,1,21,19,5,광진구,[광진구청] 1/24(월)부터 선별진료소 운영시간변경▲보건소 (평일)9~18시 (토)9~13시 (일)미운영▲중곡지소 9~18시▲자양지소 9~13시☎450-7090,전염병
2022,1,22,17,11,광진구,[광진구청]1/24(월)부터코로나19검사소운영시간변경▲보건소(평일)9~18시(토)9~13시 (일)미운영▲중곡지소(평일)9~18시(토일)9~13시☎450-7090,전염병
2022,1,24,9,12,동작구,"[동작구청] 1/24(월)부터 보건소,동작구청,사당문화회관 선별진료(검사)소 운영시간이 변경됨을 알려드립니다. ※ 운영시간은 동작구청 홈페이지 참고.",전염병
2022,1,24,19,34,금천구,[금천구청] 오늘 17:36 독산동 181-134번지 정심빌라 붕괴 우려사고 발생. 산기슭 도로 전면 통제하오니 인근 지역 운행차량은 우회하여 주시기 바랍니다.,교통
2022,1,25,10,22,금천구,[금천구청]독산동 빌라 안전사고 관련 신기슭도로 부분 통제되어 금천08번 마을버스를 독산로(20미터도로) 방면으로 임시 우회하오니 이용에 참조하시기 바랍니다.,교통
2022,1,26,8,32,금천구,[금천구청] 독산동 빌라 안전사고 관련 균열 보수공사로 오늘 08시~17시 산기슭도로 및 독산동 181-134번지 앞 도로를 통제하오니 우회하여주시기 바랍니다.,교통
2022,1,26,18,4,금천구,"[금천구청] 독산동 빌라 안전사고 관련 철거공사 완료됨에 따라 18시부터 산기슭도로 및 독산동 181-134번지 앞 도로 통제를 해제하오니, 통행에 참조바랍니다.",교통
2022,1,26,18,13,금천구,"[금천구청] 독산동 빌라 안전사고 관련 철거공사 완료됨에 따라 18시부터 금천08번 마을버스 운행이 정상화됨을 안내드리오니, 이용에 불편 없으시기 바랍니다.",교통
2022,1,26,18,45,광진구,"[광진구청]설연휴(22.1.29.~2.2.) 선별진료소 운영안내 ▲광진구보건소, 중곡지소 정상운영(09시~18시)▲2.1.(화)설당일 14시~18시 단축운영",전염병
2022,1,27,8,15,금천구,[금천구청] 독산동 빌라 안전사고 관련 공사 잔재물 처리로 독산동 181-134번지 부근 도로를 8~12까지 부분운행(1차선통제)하오니 통행에 참조하시기바랍니다.,교통
2022,1,28,19,52,동작구,[동작구청] 설연휴 중 보건소·동작주차공원 선별검사는 정상운영합니다. 동작구청·사당문화회관은 1/30(일)~2/2(수) 미운영(동작구청 홈페이지 참조),전염병
2022,1,29,15,24,양천구,[양천구청]설 연휴 중 선별진료소 운영안내. 양천구청 네이버 블로그 참조 https://blog.naver.com/yangcheon2016/222626024322,전염병
2022,1,29,18,6,광진구,"[광진구청]설연휴(22.1.29.~2.2.) 선별진료소 운영안내 ▲광진구보건소, 중곡지소 정상운영(09시~18시)▲2.1.(화)설당일 14시~18시 단축운영",전염병
2022,1,30,9,48,동작구,[동작구청] 설연휴 중 보건소·동작주차공원 선별검사는 정상운영합니다. 동작구청·사당문화회관은 1/30(일)~2/2(수) 미운영(동작구청 홈페이지 참조),전염병
2022,2,2,18,14,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람 ▲18세이상 3개월경과자 3차접종 예약중 ☎450-7400,전염병
2022,2,3,17,40,강서구,"[강서구청]선별진료소 운영1)보건소:평일9시-17:30(점심소독),토공휴일9시-13시,일요일미운영 2)마곡임시:평일10시-17시,토공휴일10시-14시,일요일미운영",전염병
2022,2,4,17,53,동작구,[동작구청] 보건소 및 임시선별검사소 검사체계가 변경되었음을 알려드립니다. ※ 동작구청 홈페이지 참고 www.dongjak.go.kr,전염병
2022,2,5,18,30,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk )동시간대 이용자 검사바람 ▲18세이상 3개월경과자 3차접종 예약중 ☎450-7400,전염병
2022,2,8,12,35,관악구,[관악구청] 2.8.(화) 12시 이후 코로나-19 긴급방역 관계로 신림체육센터 임시선별검사소 운영 일시 중단 안내  ※ 자세한 내용은 관악구청 홈페이지 참고,전염병
2022,2,9,18,25,광진구,[광진구청] 확진자발생 관내 동선알림. 홈페이지확인( han.gl/rvVRk ) 및 증상있으면 검사바랍니다. ▲KF94 마스크 상시 착용 등 개인방역수칙 준수,전염병
2022,2,11,14,0,중랑구,"[중랑구청] 2.12.(토)부터 ‘망우저류조공원 임시선별검사소’ 운영이 중단되오니, 코로나19 PCR검사는 중랑구 보건소, 면목역, 망우역을 이용하시기 바랍니다.",전염병
2022,2,11,14,37,동작구,[동작구청] 보건소 선별진료소 운영이 2/13(일)부터 일요일에는 미운영됨을 알려드립니다. ※ 동작주차공원 코로나19검사소 (연중무휴) 13시~21시,전염병
