preprocessed_송출내용,label
오늘 경 중구 장충동 앰버 서다 호텔 내 화재 발생 지역 우회 하다 주시 인근 주민 안전 사고 발생 유의 바라다,1
신종 코로나바이러스 감염증 예방 칙 마스크 착용 흐르다 물 초이 손씻기 중국 방문 후 발열 호흡기 증상 보건소 상담 바라다,6
감염증 대응 위해 청장 중심 대책 본부 운영 확 진자 없다 발열 증상 시 보건소 문의 바라다,4
중국 방문 후 이내 발열 호흡기 증상 기침 후통 발 현시 강남구 재난 안전 대책 부로 문의 바라다,6
중국 방문 후 내 발열 호흡기 증상 기침 후통 발현 시 강남구 재난 안전 대책 부로 문의 바라다,6
은평 병원 환자 코로나 추가 확 진자 발생 성모 병원 부분 일시 폐쇄 발열 호흡기 증상 시 은평 보건소 문의 자세하다,6
코로나 확 진자 발생 성내동 거주 중국인 확진 판정 흑석동 중대 병원 격리 자세하다 사항 강동구 홈페이지 참고 바라다,4
코로나 확 진자 명 추가 발생 문정동 확 진자 가족 의료 격리 조치 하다 자세하다 내용 송파구 홈페이지 참고 바라다,4
금일 코로나 확진 추가 발생 은평 성모 병원 입 퇴원 주민 발열 호흡기 증상 보건소 콜센터 연락 후 방문,6
코로나 확 진자 명 추가 발생 자세하다 내용 강동구 홈페이지 참고 바라다,4
토 이후 은평 병원 입 퇴원 진료 외래 간병 방문 중랑 구민 중랑구 보건소 상담 바라다,6
토이 후 은평 병원 입 퇴원 진료 외래 간병 방문 동대문 구민 동대문 보건소 상담 바라다,6
코로나 첫 확 진자 명 사당동 발생 상세 내용 동작구 홈페이지 확인 증상 발생 시 동작구 보건소 신고 바라다,6
토 현재 은평 병원 진관동 입 퇴원 진료 간병 방문 노원 구민 노원구 콜센터 상담 바라다,6
코로나 확 진자 명 독산동 거주 세 중국인 여성 발생 국립 중앙 의료 이송 확 진자 동선 역학 조사 중 추후 안내,5
화 현재 코로나 확 진자 명 추가 발생 문병원 전원 격리 조치 하다 자세하다 내용 송파구 홈페이지 블로그 참고 바라다,4
화곡동 코로나 확 진자 명 발생 의료 이송 해당 지역 소독 완료 개인 위생 준수 바라다 자세하다 내용 구청 홈페이지 참고 바라다,5
토 은평 성모 병원 재활 병원 방문 이력 발열 증상 성북 구민 성북 보건소 상담 바라다,6
토 은평 병원 방문 퇴원 간병 하다 분 중 열 기침 호흡기 증상 마스크 착용 후 선 진료 소 방문 하다 바라다,6
노원 상계 백병원 확 진자 발생 상계 백병원 방문 도봉구 민중 증상 시 보건소 번 상담 바라다,6
노원 상계 백병원 확 진자 발생 상계 백병원 방문 도봉구 민중 증상 시 보건소 번 상담 바라다,6
화 현재 코로나 확 진자 명 추가 발생 총명 격리 조치 방역 완료 자세하다 내용 송파구 홈페이지 블로그 참고 바라다,4
노원구 보건소 선 진료 소 목 시 정상 운영 구청 재난 문자 받다 싶다 분 전화 문의 홈페이지 신청 바람,4
코로나 확 진자 명 공개 대구 제주 주소지 실질 강남 거주 상세 내용 강남구 홈페이지 참고 바라다,5
금일 코로나 두번째 확 진자 발생 보라매동 상세 내용 관악구 홈페이지 확인 증상 발생 시 관악 보건소 연락 바라다,6
신월동 코로나 확 진자 발생 국가 정병 이송 개인 위생 준수 바라다 동선 내용 구청 홈페이지 참고 바라다,5
명성교회 차 밀접 접촉 명중 대해 코로나 검사 결과 전원 음성 판명 되다 검사 받다 신분 음성 일동 안다 격리 철저하다 유지 바라다,6
코로나 확진 자세 이동 경로 안내 방역 완료 금천구청 홈페이지 참고 하다 시기 바라다,4
관악구 두 확 진자 보라매동 동선 공개 자세하다 사항 관악 구청 홈페이지 블로그 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
양천구 코로나 확 진자 동선 관련 상세 내용 양천구 블로그 확인 가능하다,0
확 진자 접촉 명 음성 판정 현재 자가 격리 격리 기간 종료 전 재검사 하다 음성 판정 시 격리 해제 관련 장소 방역 소독 완료,7
양천구 코로나 확 진자 동선 관련 상세 내용 양천구 블로그 확인 가능하다,0
타 거주 코로나 확진 자세 마포구 방문 확인 후 해당 지역 방역 격리 완료 자세하다 사항 마포 구청 홈페이지 확인 바라다,4
목 여의도 파크원 건설 현장 직원 인천 시민 코로나 확진 건설 현장 관련 시설 폐쇄 방역 조치 자세하다 사항 구청 홈페이지 확인 바라다,1
양천구 거주 코로나 확 진자 명 강서구 염창동 화곡동 동선 확인 후 해당 지역 방역 완료 자세하다 사항 구청 홈페이지 확인 바라다,0
코로나 추가 확 진자 명진 관동 갈현동 선공 해당 지역 방역 격리 완료 자세하다 사항 은평 구청 홈페이지 확인,4
번 확 진자 발생 하다 명성교회 부목 사씨 아파트 엘리베이터 마스크 착용 접촉 확인 되다 국가 지정 격리 병원 이송 예정 접촉 동선 파악 이다,4
금 코로나 확 진자 발생 신세계 강남 점 뉴코아 아울렛 강남 점 방역 폐쇄 중임 추후 확 진자 동선 공지 예정,4
코로나 확 진자 인 발생 개포동 논현동 테헤란로 인근 동선 방역 폐쇄 조치 추후 확 진자 동선 구청 홈페이지 공지 예정,4
코로나 확 진자 인 발생 동지점 방역 폐쇄 조치 상세 내용 구청 홈페이지 확인,4
코로나 추가 확 진자 공릉동 세 여성 발생 상세 내용 구청 홈페이지 참조 하다 주시 재난 문자 받다 분 구청 홈페이지 신청 하다 시오,4
금일 코로나 세 확 진자 발생 성현동 자세하다 내용 관악구 홈페이지 블로그 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
코로나 추가 확 진자 명 정보공개 누적 확 진자 명 경로 강남구 홈페이지 참고 바라다,4
관내 확 진자 대한 서울시 조사 결과 관내 자택 외 특별하다 방문 곳 없다 음 알다 드리다 자세하다 사항 구청 홈페이지 게시 하다 예정 이다,4
금 현재 코로나 확 진자 명 추가 발생 총명 격리 조치 완료 자세하다 내용 송파구 홈페이지 참고 바라다,4
코로나 추가 확 진자 명 남다 북가좌동 이랜드 하다 발생 격리 병원 이송 방역 조치 완료 추후 확 진자 동선 홈페이지 공개 예정,5
코로나 두 확 진자 추가 동선 공개 자세하다 사항 관악구 홈페이지 블로그 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
코로나 두번째 확 진자 발생 사당동 거주 년생 상세 내용 동작구 홈페이지 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
코로나 첫 구민 확 진자 여의도 파크원 추가 확 진자 발생 자세하다 사항 구청 홈페이지 확인 바라다,4
코로나 확산 방지 위 주민 협조 사항 이다 종교 행사 모임 집회 자제 해 주시 개인 위생 관리 예방 칙 꼭 지키다 바라다,4
코로나 확산 방지 위해 주민 협조 사항 이다 종교 행사 모임 집회 자제 하다 주시 개인 위생 관리 예방 칙 꼭 지키다 바라다,4
코로나 확산 방지 위해 종교 행사 모임 집회 자제 하다 주시 마스크 착용 손씻기 개인 위생 칙 꼭 지키다 바라다,4
코로나 확산 방지 위해 주민 협조 사항 이다 종교 행사 모임 집회 자제 하다 주시 개인 위생 관리 예방 칙 꼭 지키다 바라다,4
토 코로나 누적 확 진자 명 추가 거주지 기준 관련 정보 홈페이지 페이스북 블로그 확인 위생 준수 종교 행사 집회 모임 자제 바라다,4
코로나 확산 외출 자제 코로나 관련 문자 받다 분 번호 신청 하다 줄다,4
지역 사회 감염 예방 위해 야외 집회 종교 행사 참여 자제 해주다 손씻기 마스크 쓰기 기침 예절 위생 칙 자다 지키다 바라다,1
코로나 양천구 확 진자 신정동 거주 발생 상세 내용 양천구 블로그 확인 바라다,0
코로나 감염 예방 위해 야외 집회 종교 행사 참여 자제 하다 주시 손 씻다 마스크 착용 기침 예절 개인 위생 칙 철저하다 지키다,4
코로나 두 구민 확 진자 발생 대림동 자세하다 사항 영등포 구청 홈페이지 확인 바라다,4
광진구 확 진자 장안동 번지 정육 식당 시경 식사 식당 폐쇄 방역 실시 완료,4
위 시간대 식당 이용 주민 유의 하다 증상 경우 보건소 연락 바라다 광진 구민 확 진일,1
시 현재 금천구 추가 확 진자 없다 영등포 확 진자 동선 방역 소독 완료 가산동 에이스 하이엔드 타워 차 개인 위생 관리 예방 칙 준수 홈페이지 참고,4
코로나 광진구 번확 진자 발생 동지점 방역 폐쇄 조치 상세 내용 광진구 홈페이지 확인,4
지역 확 진자 중화동 찌개 달인 본점 중랑역 머무르다 방역 완료 식당 폐쇄,4
위 시간대 해당 식당 이용 주민 유의 하다 증상 경우 중랑구 보건소 연락 바라다 확 진일,1
금일 코로나 확 진자 발생 청룡동 자세하다 내용 관악구 홈페이지 블로그 확인 증상 발생 시 상담 후 선 진료 소 방문 바라다,6
확 진자 명 발생 구민 발열 기침 호흡기 증상 발생 경우 보건소 질병 관리 본부 연락 해주다,4
코로나 구민 확 진자 대림동 여의도 파크원 확 진자 인천 시민 발생 자세하다 사항 구청 홈페이지 확인 바라다,4
광명시 확 진자 접촉 명가 산동 에이스 하이엔드 타워 차 직장인 금천구 주민 없다 출근시간 건물 입구 발열 확인 현재 유증 상자 없다,4
코로나 금일 기준 추가 확 진자 없다 기침 발열 호흡기 증상 시 보건소 문의 바라다,4
코로나 확산 방지 위해 외출 최소 불필요하다 다중 만남 자제 사회 거리 두기 적극 동참 하다 시기 바라다,4
코로나 확 진자 발생 발열 기침 호흡기 증상 시 보건소 질병 관리 본부 연락 자세하다 사항 구청 홈페이지 참조,4
금일 추가 확 진자 없다 완치 치료 자가 격리 행사 참여 자제 개인 위생 칙 손씻기 마스크 착용 준수 종로구 보건소,7
코로나 금일 기준 추가 확 진자 없다 증상 의심 시 선 진료 소 방문 자세하다 사항 홈페이지 확인,4
금천구 확진 자세 중국인 여성 금일 격리 해제 퇴원 영등포구 확 진자 접촉 명자 세한 사항 홈페이지 참고 금천 구민 없다,4
금일 코로나 확 진자 갈현동 추가 발생 누적 확 진자 이동 동선 역학 조사 추후 공개 예정,4
월일 신천지교 인명 조사 완료 유증 상자 명중 명 음성 명검 사중 월일 제보 부속 시설 개 추가 발견 방역 소독 및폐쇄 홈페이지 참조,4
확 진자 동선 공개 현재 성동구 확 진자 명 지역 거주 성동구 직장인 명 세부 현황 성동구 홈페이지 확인 하다 바라다,4
첫 확 진자 심층 역학 조사 확인 결과 밀접 접촉 분류 되다 사람 없다 방문 공간 방역 조치 완료 자세하다 경로 구청 홈페이지 참고,4
월일 회기동 세 남성 번 확 진자 판명 방문 지다 대해 방역 소독 폐쇄 조치 동선 홈페이지 공개 예정,4
동대문구 번 회기동 이다 번 전농동 남다 확 진자 발생 방문 지다 대한 방역 소독 영업 중지 조치 자세하다 동선 홈페이지 참조,4
중화동 코로나 확 진자 명 발생 거주지 방역 완료 역학 조사 진행중,7
손씻기 마스크 착용 예방 칙 준수 바라다 발열 증상 경우 중랑구 보건소 연락 바라다,6
수 시 코로나 확 진자 명 발생 보광동 역학 조사 진행중 발열 호흡기 증상 시 보건소 연락 바라다,5
코로나 확 진자 명 번동 삼각산동 발생 역학 조사 진행중 상세 내용 추후 구청 홈페이지 공개 예정 이다,5
확 진자 명 발생 번 번동 남 세 번 삼각산동 세 역학 조사 진행중 홈페이지 공개 완료 시 추후 안내 하다,5
코로나 긴급 상황 발생 시 정보 공유 원하다 구민 신청 바라다 콜센터 광진구 홈페이지,2
확 진자 방문 공간 방역 조치 완료 서울시 역학 사관 개팀 역학 조사 조사 완료 시 홈페이지 이동 경로 공개 하다,4
금 코로나 관련 성남 분당 제생병원 명 중인 송파구 거주 현재 역학 조사 세부 사항 추후 홈페이지 공지 예정 이다,5
확 진자 이동 경로 홈페이지 게시 경로 관련 발열 호흡기 증상 경우 보건소 콜센터 연락 바라다,4
확 진자 이동 경로 중 상 호미 발표 업소 접촉 밉다 발생 이다 코로나 관련 상담 보건소 콜센터 연락 바라다,5
삼양 아케이드 삼양사 거리 내 맛밥 은 코로나 확 진자 이동 경로 관련 없다,4
금 금천구 코로나 확 진자 중 강서구 민화 곡 본동 포함 되어다 알다 드리다 세부 사항 블로그 참조 바라다,4
코로나 양천구 확 진자 목동 거주 발생 상세 내용 양천구 블로그 확인 바라다,0
확 진자 명 추가 발생 번동 확 진자 가족 서남 병원 격리 조치 방문 지다 대한 소독 완료 동선 홈페이지 개시 추가 문자 하다 예정 이다,4
추가 확 진자 명 동선 홈페이지 게시 코로나 관련 발열 기침 증상 시 보건소 콜센터 연락 바라다,6
타구 코로나 추가 확 진자 대한 역학 조사 결과 도봉구 이동 경로 대응조치 사항 도봉 구청 홈페이지 공지 하다 참고 바라다,4
코로나 확산 방지 위해 예배 법회 미사 종교 행사 모임 참석 자제 하다 주시 사회 거리 두기 실천 예방 칙 준수 요망,4
코로나 양천구 확 진자 발생 확 진자 가족 상세 내용 양천구 블로그 확인 바라다,0
월일 동대문구 이문동 거주 성북구 민세 남성 확 진자 판명 활동 동선 사업 일시 폐쇄 소독 중 동선 홈페이지 확인 요망,4
코로나 양천구 확 진자 번 확 진자 가족 발생 상세 내용 양천구 블로그 확인 바라다,0
코로나 확산 방지 위해 예배 법회 종교 행사 집회 모임 자제 하다 주시 개인 위생 관리 예방 칙 준수 하다 바라다,4
금일 코로나 확 진자 명 대조동 추가 발생 방역 소독 완료 이동 동선 추후 공개 멈추다 거리 두기 동참 부탁 하다,4
코로나 확 진자 발생 보라매동 현재 역학 조사 진행중 자세하다 내용 추후 홈페이지 공지 예정 감염병 예방 칙 준수 바라다,5
