연,월,일,시,분,수신지역,송출내용,target
2020,1,26,9,9,중구,[중구청] 오늘 07:00경 중구 장충동 앰버서더호텔 내 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,기타
2020,1,28,16,59,광진구 ,"[광진구청] 신종 코로나바이러스감염증 예방수칙 마스크 착용 흐르는물 30초이상 손씻기 중국방문 후 발열, 호흡기증상 1339 또는 보건소 상담바랍니다.",전염병
2020,1,30,9,49,송파구 ,[송파구청]감염증 대응을 위해 구청장 중심으로 24시간 대책본부를 운영하고 있습니다. 확진자는 없으며 발열 등 증상시 보건소(2147-3478~9)로 문의바랍니다,전염병
2020,1,31,14,31,강남구 ,"[강남구]중국 방문 후 14일 이내에 발열(37.5도 이상) 또는 호흡기증상(기침,인후통 등) 발현시 강남구 재난안전대책본부로(3423-5555)로 문의바랍니다.",전염병
2020,1,31,15,5,강남구 ,"[강남구]중국 방문 후 14일이내에 발열(37.5도이상) 또는 호흡기증상(기침,인후통등) 발현 시 강남구 재난안전대책본부(02-3423-5555)로 문의바랍니다.",전염병
2020,2,22,19,42,은평구,[은평구청]은평성모병원환자코로나19추가확진자발생.성모병원부분일시폐쇄.발열호흡기증상시1339 또는 02-351-8640(은평보건소)문의. 자세한내용 ep.go.kr,전염병
2020,2,24,14,19,강동구,"[강동구]코로나19 2번째 확진자 발생. 성내동 거주 66세(중국인), 2.24. 확진판정, 흑석동 중대병원 격리, 자세한사항은 강동구 홈페이지를 참고 바랍니다.",전염병
2020,2,24,15,52,송파구,"[송파구] 코로나19 확진자 2명 추가 발생, 23일 문정동 확진자의 가족으로 서울의료원에 격리조치하였으며, 자세한 내용은 송파구 홈페이지를 참고 바랍니다.",전염병
2020,2,24,20,39,은평구,"[은평구청]금일코로나19확진추가2명발생,2.1부터은평성모병원입퇴원주민중발열 호흡기증상시보건소02-351-8640,콜센터(120/1339)연락후방문 ep.go.kr",전염병
2020,2,25,12,16,강동구,"[강동구] 코로나19 확진자 2명 추가 발생, 자세한내용은 강동구 홈페이지를 참고 바랍니다.",전염병
2020,2,25,13,58,중랑구,"[중랑구청] '20.2.1(토) 이후 은평성모병원에 입퇴원, 진료, 외래 간병 등으로 방문한 중랑구민은, 중랑구 보건소(02-2094-0800)로 상담 바랍니다.",전염병
2020,2,25,14,19,동대문구,"[동대문구청]20.02.01.(토)이후 은평성모병원에 입퇴원, 진료, 외래 간병 등으로 방문한 동대문구민은, 동대문보건소(02-2127-4283)로 상담바랍니다.",전염병
2020,2,25,14,35,동작구,"[동작구청] 코로나19 첫번째 확진자 1명 사당동 발생, 상세내용 동작구홈페이지 확인, 증상발생시1339 또는 동작구보건소(02-820-9465) 신고바랍니다.",전염병
2020,2,25,15,7,노원구,"[노원구청]2.1(토)부터 현재까지 은평성모병원(진관동)에 입퇴원,진료,간병 등으로 방문한 노원구민은, 노원구콜센터(02-2116-4342~4)로 상담바랍니다.",전염병
2020,2,25,15,28,금천구,"[금천구] 2.25. 코로나19 확진자 1명(독산1동 거주, 74세, 중국인 여성) 발생, 국립중앙의료원 이송, 확진자 동선은 역학조사 중, 추후 안내",전염병
2020,2,25,16,14,송파구,"[송파구] 2.25(화)15:30 현재 코로나19 확진자 3명 추가 발생, 전문병원으로 전원 격리조치하였으며 자세한 내용은 송파구 홈페이지, 블로그를 참고바랍니다",전염병
2020,2,25,17,27,강서구,"[강서구청]23일 화곡6동 코로나19 확진자 1명 발생. 서울의료원 이송 및 해당지역 소독완료. 개인위생 준수바라며, 자세한 내용은 구청 홈페이지 참고 바랍니다.",전염병
2020,2,25,18,6,성북구,"[성북구청]2.1(토)부터 은평성모병원, 서울재활병원에 방문한 이력이 있으며 발열 등 증상이 있는 성북구민은 성북보건소(02-2241-5271)로 상담바랍니다.",전염병
2020,2,25,18,31,동대문구,"[동대문구청]2.1.(토)부터 은평성모병원을 방문, 퇴원, 간병을 하셨던분 중 열, 기침 등 호흡기증상이 있으시면 마스크 착용후 선별진료소를 방문하시기 바랍니다.",전염병
2020,2,25,18,47,도봉구,[도봉구청]노원상계백병원 확진자발생 2.24.(월)부터 상계백병원 방문도봉구민중 이상증상시 보건소(02-2091-4483/4490) 또는 1399번 상담바랍니다.,전염병
2020,2,25,19,4,도봉구,[도봉구청]노원상계백병원 확진자발생 2.24.(월)부터 상계백병원 방문도봉구민중 이상증상시 보건소(02-2091-4483/4490) 또는 1339번 상담바랍니다.,전염병
2020,2,25,21,8,송파구,"[송파구] 2.25(화)21:00 현재 코로나19 확진자 2명 추가 발생(총9명), 격리조치 및 방역 완료. 자세한 내용은 송파구 홈페이지, 블로그를 참고바랍니다",전염병
2020,2,26,15,17,노원구,"[노원구청]노원구 보건소 선별진료소 2.27(목) 9시 정상 운영. 구청 재난 문자를 받고 싶으신 분은 전화문의(2116-3430~3), 구홈페이지에서 신청바람.",전염병
2020,2,26,16,29,강남구,[강남구청]코로나19 확진자 2명공개/각각 대구·제주 주소지.1명은 실질적 강남거주자/상세내용은 강남구 홈페이지( www.gangnam.go.kr)참고바랍니다.,전염병
2020,2,26,16,43,관악구,"[관악구청]금일 코로나19 두번째 확진자 발생(보라매동), 상세내용 관악구홈페이지 확인, 증상발생시 1339 또는 관악보건소(02-879-7133) 연락바랍니다.",전염병
2020,2,27,9,38,양천구,"[양천구청]26일 신월3동 코로나19 확진자 발생. 국가지정병원으로 이송. 개인위생 준수바라며, 동선 등 내용은 구청 홈페이지 참고 바랍니다.",전염병
2020,2,27,10,34,강동구,[강동구]명성교회1차밀접접촉자215명중142명에대해2.26.코로나19검사결과전원음성으로판명됨.검사를받으신분들께서는음성이더라도14일동안자가격리를철저히유지바랍니다.,전염병
2020,2,27,11,55,금천구,"[금천구청] 코로나19 확진자(74세, 여) 이동경로 안내. 방역 모두 완료. 금천구청 홈페이지를 참고해 주시기 바랍니다.",전염병
2020,2,27,13,4,관악구,"[관악구청]관악구 두 번째 확진자(보라매동) 동선 공개, 자세한 사항은 관악구청 홈페이지 및 블로그 확인, 증상 발생 시 1339 상담후 선별진료소 방문바랍니다.",전염병
2020,2,27,16,58,양천구,[양천구청]양천구 코로나19 확진자 동선관련 상세내용은 양천구 블로그에서도 확인가능합니다.(blog.naver.com/yangcheon2016),전염병
2020,2,27,16,59,금천구,"[금천구청]확진자와 접촉한 7명 모두 음성 판정, 현재 자가격리중, 격리기간 종료 전 재검사하여 음성판정시 격리해제, 관련 장소 모두 방역소독 완료",전염병
2020,2,27,17,1,양천구,[양천구청]양천구 코로나19 확진자 동선관련 상세내용은 양천구 블로그에서도 확인가능합니다. blog.naver.com/yangcheon2016,전염병
2020,2,27,17,25,마포구,"[마포구청] 타 구 거주 코로나19 확진자(29세, 여) 마포구 방문 확인 후 해당지역 방역 및 격리완료. 자세한 사항은 마포구청 홈페이지 확인 바랍니다.",전염병
2020,2,27,17,34,영등포구,"[영등포구청]2/27목, 여의도 파크원 건설현장 직원(인천시민) 코로나 확진! 건설현장 등 관련 시설 폐쇄, 방역 조치! 자세한 사항은 구청홈페이지 확인바랍니다.",전염병
2020,2,27,18,54,강서구,"[강서구청]양천구 거주 코로나19 확진자 1명 강서구(염창동, 화곡3동)이동동선 확인 후 해당지역 방역완료. 자세한 사항 구청 홈페이지를 확인 바랍니다.",전염병
2020,2,27,19,38,은평구,"[은평구청] 코로나19 추가확진자 4명(진관동3명, 갈현1동1명)동선공개. 해당지역 방역 및 격리완료. 자세한 사항은 은평구청 홈페이지 확인.  ep.go.kr",전염병
2020,2,28,10,38,강동구,[강동구]5번째확진자가발생했습니다.명성교회부목사A씨와 같은아파트엘리베이터에서마스크착용없이접촉한것으로확인됨.국가지정격리병원으로이송예정이며접촉자및동선파악중입니다.,전염병
2020,2,28,11,44,서초구,"[서초구청]2.28(금)코로나19 확진자 발생. 신세계 강남점, 뉴코아 아울렛 강남점 방역 및 폐쇄중임. 추후 확진자 동선 공지 예정.",전염병
2020,2,28,12,18,강남구,"[강남구청] 2.28 코로나19 확진자 4인 발생. 개포동 논현동 테헤란로 인근, 동선 방역 및 폐쇄 조치. 추후 확진자 동선 구청 홈페이지 공지 예정",전염병
2020,2,28,15,14,광진구,"[광진구청] 2.28. 코로나19 확진자 1인발생 이동지점 방역 및 폐쇄 조치. 상세내용은 구청홈페이지(www.gwangjin.go.kr), SNS 확인",전염병
2020,2,28,15,43,노원구,"[노원구청]코로나19 추가 확진자(공릉동 45세 여성) 발생, 상세내용은 구청 홈페이지를 참조해 주시고, 재난문자 받으실 분 <구청 홈페이지>로 신청해 주십시오.",전염병
2020,2,28,17,44,관악구,"[관악구청]금일 코로나19 세 번째 확진자 발생(성현동), 자세한 내용 관악구 홈페이지 및 블로그 확인, 증상발생 시 1339 상담 후 선별진료소 방문 바랍니다.",전염병
2020,2,28,17,45,강남구,[강남구청] 코로나19 추가 확진자 4명 정보공개. 누적 확진자 7명 이동경로는 강남구 홈페이지( www.gangnam.go.kr) 참고바랍니다.,전염병
2020,2,28,17,49,동대문구,[동대문구청]관내 확진자에 대한 서울시 조사 결과 관내에서는 자택외에 특별히 방문한 곳이 없음을 알려드립니다.자세한 사항은 구청 홈페이지에 곧 게시할 예정입니다.,전염병
2020,2,28,18,24,송파구,"[송파구] 2.28(금) 18:00 현재 코로나19 확진자 3명 추가 발생(총12명), 격리조치완료. 자세한 내용은 송파구 홈페이지를 참고 바랍니다.",전염병
2020,2,28,18,43,서대문구,"[서대문구청]2.27.코로나19 추가확진자 1명(남/48세,북가좌1동 이랜드해가든APT)발생. 격리병원 이송, 방역조치완료. 추후 확진자 동선 구홈페이지 공개예정",전염병
2020,2,28,19,9,관악구,"[관악구청] 코로나19 두 번째 확진자 추가 동선 공개, 자세한 사항은 관악구 홈페이지 및 블로그 확인, 증상발생 시 1339 상담 후 선별진료소 방문바랍니다.",전염병
2020,2,29,13,16,동작구,"[동작구청]코로나19 두번째 확진자 발생(사당동 거주, 60년생 여) 상세내용 동작구 홈페이지·SNS확인, 증상발생시 1339 상담 후 선별진료소 방문 바랍니다.",전염병
2020,2,29,14,23,영등포구,[영등포구청]코로나 첫 번째 구민 확진자 및 여의도 파크원 추가 확진자 발생. 자세한 사항은 구청 홈페이지 확인바랍니다.,전염병
2020,2,29,17,45,송파구,"[송파구] 코로나19 확산방지를 위한 주민 협조사항입니다. 종교행사, 모임, 집회 등을 자제 해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다.",전염병
2020,2,29,17,56,관악구,"[관악구청] 코로나19 확산방지를 위해 주민 협조사항입니다. 종교행사, 모임, 집회등을 자제해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다.",전염병
2020,2,29,18,12,마포구,"[마포구청]코로나19 확산방지를 위해 종교행사, 모임, 집회 등을 자제해 주시고, 마스크 착용, 손씻기 등 개인 위생수칙을 꼭 지켜주시기 바랍니다.",전염병
2020,2,29,19,0,동작구,"[동작구청] 코로나19 확산방지를 위해 주민 협조사항입니다. 종교행사, 모임, 집회 등을 자제해 주시고, 개인 위생관리와 예방수칙을 꼭 지켜주시기 바랍니다.",전염병
2020,2,29,19,39,은평구,"[은평구청]2.29(토) 코로나19 누적확진자 8명(추가0명, 거주지기준) 관련정보는 홈페이지,페이스북,블로그 확인.개인위생준수,종교행사,집회등 모임자제바랍니다.",전염병
2020,3,1,9,7,노원구,[노원구청] 코로나19 확산! 외출 자제! 코로나19 관련 문자 받으실 분은 이 번호로 신청해 주세요! 02-2116-2300,전염병
2020,3,1,10,2,동대문구,"[동대문구청]지역사회감염 예방을 위해, 야외집회, 종교행사등 참여를 자제해주시고, 손씻기, 마스크쓰기 기침예절등 위생수칙을 잘 지켜주시기 바랍니다.",전염병
2020,3,1,11,17,양천구,[양천구청]코로나19 양천구 2번째 확진자(신정4동 거주) 발생. 상세내용은 양천구 블로그 확인 바랍니다. blog.naver.com/yangcheon2016,전염병
2020,3,1,14,34,성북구,"[성북구청] 코로나19 감염예방을 위해 야외집회, 종교행사 등 참여를 자제해 주시고 손 씻기, 마스크착용, 기침 예절 등 개인위생수칙을 철저히 지켜주십시오.",전염병
2020,3,1,15,25,영등포구,[영등포구청]코로나 두 번째 구민 확진자 발생(대림3동). 자세한 사항은 영등포구청 홈페이지 확인바랍니다.,전염병
2020,3,1,16,0,동대문구,"[동대문구청] 광진구 확진자가 장안1동 일번지 정육식당에서 2.29일 19~21시경 식사, 우리구는 3.1일 15:50에 식당폐쇄, 방역실시 완료",전염병
2020,3,1,16,10,동대문구,[동대문구청] 위 시간대 식당 이용 주민께서는 유의하시고 증상이 있는 경우 보건소(02-2127-4283)로 연락 바랍니다.(광진구민 확진일 3.1),전염병
2020,3,1,16,36,금천구,"[금천구청]16시 현재 금천구 추가 확진자 없음, 영등포 확진자 동선 방역소독 완료(가산동 에이스하이엔드타워9차), 개인 위생관리와 예방수칙 준수, 홈페이지 참고",전염병
2020,3,1,16,50,광진구,"[광진구청] 3.1. 코로나19 광진구 2번확진자 발생 이동지점 방역 및 폐쇄 조치 상세내용은 광진구홈페이지(www.gwangjin.go.kr), SNS 확인",전염병
2020,3,1,18,8,중랑구,[중랑구청] 타지역 확진자가 중화동 찌개달인본점(중랑역로89)에서 2.29. 21:30 ~ 23:00까지 머무름. (방역완료 및 식당폐쇄),전염병
2020,3,1,18,10,중랑구,"[중랑구청] 위 시간대에 해당 식당 이용 주민께서는 유의하시고, 증상이 있는 경우, 중랑구 보건소(02-2094-0800)로 연락 바랍니다.(확진일 3.1.)",전염병
2020,3,1,18,21,관악구,"[관악구청] 금일 코로나19,  4번째 확진자 발생(청룡동), 자세한 내용 관악구 홈페이지 및 블로그 확인, 증상발생시 1339 상담 후 선별진료소 방문 바랍니다",전염병
2020,3,1,19,5,성북구,"[성북구청] 확진자 1명 발생. 구민여러분께서는 발열, 기침 등 호흡기 증상이 발생한 경우 보건소 2241-5271, 질병관리본부 1339로 연락해주십시오.",전염병
2020,3,2,11,36,영등포구,[영등포구청]코로나 3번째 구민 확진자(대림3동) 및 여의도 파크원 3번째 확진자(인천시민) 발생. 자세한 사항은 구청 홈페이지 확인바랍니다.,전염병
2020,3,2,15,55,금천구,"[금천구청]광명시 확진자와의 접촉자 4명(가산동 에이스하이엔드타워9차 직장인), 금천구 주민 없음, 출근시간대 건물입구에서 발열여부 확인, 현재 유증상자 없음",전염병
2020,3,2,16,0,마포구,"[마포구청]코로나19 금일 16시기준 추가 확진자 없음. 기침, 발열, 호흡기 증상시 1339, 보건소(02-3153-9004~7)로 문의 바랍니다.",전염병
2020,3,2,18,0,동작구,"[동작구청] 코로나19확산 방지를 위해 외출 최소화, 불필요한 다중 만남 자제 등 ‘사회적 거리두기’에 적극 동참하여 주시기 바랍니다.(02-820-9323)",전염병
2020,3,2,18,49,도봉구,"[도봉구청]코로나19 확진자발생. 발열,기침 등 호흡기 증상시 보건소(02-2091-4483,4490), 질병관리본부1339 연락. 자세한사항은 구청홈페이지참조",전염병
